date,sma_cross,ema_cross,rsi_signal,macd_signal,bollinger_signal,stoch_signal,williams_signal,cci_signal,roc_signal,adx_trend,vortex_signal,obv_signal,final_decision,open,close
2025-03-17,0,0,0,0,1,0,1,1,2,0,2,0,1,2991.0,3000.0
2025-03-18,0,0,1,0,1,0,1,1,2,0,2,2,1,3006.39990234375,3035.10009765625
2025-03-19,0,0,1,0,1,1,1,1,2,2,2,2,1,3035.199951171875,3035.89990234375
2025-03-20,0,0,1,0,0,1,1,1,2,2,2,2,0,3047.300048828125,3040.0
2025-03-21,0,0,0,0,0,1,1,1,2,2,2,1,1,3034.5,3018.199951171875
2025-03-24,0,0,0,0,0,0,0,0,2,2,2,1,2,3024.300048828125,3013.10009765625
2025-03-25,0,0,0,0,0,0,1,0,2,2,2,2,2,3026.39990234375,3023.699951171875
2025-03-26,0,0,0,0,0,0,1,0,2,2,2,1,2,3033.199951171875,3020.89990234375
2025-03-27,0,0,1,0,0,0,1,0,2,2,2,2,2,3025.5,3060.199951171875
2025-03-28,0,0,1,0,0,0,1,1,2,2,2,2,2,3069.699951171875,3086.5
2025-03-31,0,0,1,0,1,1,1,1,2,2,2,2,1,3091.0,3122.800048828125
2025-04-01,0,0,1,0,0,1,1,1,2,2,2,1,1,3129.699951171875,3118.89990234375
2025-04-02,0,0,1,0,0,1,1,1,2,2,2,2,0,3120.699951171875,3139.89990234375
2025-04-03,0,0,0,0,0,0,0,1,2,2,2,1,2,3150.0,3097.0
2025-04-04,0,0,0,0,0,0,2,0,1,2,2,1,2,3110.5,3012.0
2025-04-07,0,0,0,0,0,0,2,0,1,2,1,1,1,3016.39990234375,2951.300048828125
2025-04-08,0,0,0,0,0,2,2,0,1,2,1,2,2,2994.0,2968.39990234375
2025-04-09,0,0,0,0,0,0,0,0,2,2,1,2,2,2965.800048828125,3056.5
2025-04-10,0,0,0,0,0,0,1,1,2,2,2,2,2,3073.89990234375,3155.199951171875
2025-04-11,0,0,0,0,1,0,1,1,2,2,2,2,2,3182.10009765625,3222.199951171875
2025-04-14,0,0,0,0,0,1,1,1,2,2,2,1,1,3215.5,3204.800048828125
2025-04-15,0,0,0,0,0,0,1,1,2,2,2,2,2,3216.0,3218.699951171875
2025-04-16,0,0,1,0,1,0,1,1,2,2,2,2,0,3238.300048828125,3326.60009765625
2025-04-17,0,0,1,0,0,1,1,1,2,2,2,1,1,3345.0,3308.699951171875
2025-04-21,0,0,1,0,1,0,1,1,2,2,2,2,0,3342.199951171875,3406.199951171875
2025-04-22,0,0,1,0,0,1,1,1,2,2,2,1,1,3422.199951171875,3400.800048828125
2025-04-23,0,0,0,0,0,0,0,0,2,2,2,1,2,3321.199951171875,3276.300048828125
2025-04-24,0,0,0,0,0,0,0,0,2,2,2,2,2,3305.39990234375,3332.0
2025-04-25,0,0,0,0,0,0,0,0,2,2,2,1,2,3355.5,3282.39990234375
2025-04-28,0,0,0,0,0,0,0,0,2,2,2,2,2,3284.5,3332.5
2025-04-29,0,0,0,0,0,0,0,0,2,2,2,1,2,3340.0,3318.800048828125
2025-04-30,0,0,0,0,0,0,0,0,2,2,2,1,2,3318.699951171875,3305.0
2025-05-01,0,0,0,0,0,0,2,0,1,2,2,1,2,3272.89990234375,3210.0
2025-05-02,0,0,0,0,0,0,2,0,1,2,2,2,2,3239.89990234375,3231.89990234375
2025-05-05,0,0,0,0,0,0,0,0,1,2,2,2,2,3242.699951171875,3311.300048828125
2025-05-06,0,0,0,0,0,0,0,1,2,2,2,2,2,3365.5,3411.39990234375
2025-05-07,0,0,0,0,0,0,0,1,2,2,2,1,2,3418.699951171875,3381.39990234375
2025-05-08,0,0,0,0,0,0,0,0,1,2,1,1,1,3390.0,3296.60009765625
2025-05-09,0,0,0,0,0,0,0,0,2,2,1,2,2,3299.0,3335.39990234375
2025-05-12,0,0,0,0,0,0,2,0,1,2,1,1,1,3300.699951171875,3220.0
2025-05-13,0,0,0,0,0,0,2,2,1,0,1,2,2,3232.0,3240.300048828125
2025-05-14,0,0,0,0,0,0,2,2,1,0,1,1,1,3233.0,3181.39990234375
2025-05-15,0,0,0,0,0,0,0,2,2,0,1,2,2,3151.0,3220.699951171875
2025-05-16,0,0,0,0,0,2,2,2,1,0,1,1,0,3227.699951171875,3182.0
2025-05-19,0,0,0,0,0,0,0,0,1,0,1,2,1,3234.39990234375,3228.89990234375
2025-05-20,0,0,0,0,0,0,0,0,1,0,1,2,1,3219.0,3280.300048828125
2025-05-21,0,0,0,0,0,0,0,0,1,0,2,2,2,3293.39990234375,3309.300048828125
2025-05-22,0,0,0,0,0,0,0,0,1,0,2,1,1,3327.300048828125,3292.300048828125
2025-05-23,0,0,0,0,0,0,0,0,2,0,2,2,2,3328.0,3363.60009765625
2025-05-27,0,0,0,0,0,0,0,0,2,0,1,1,1,3332.5,3299.10009765625
2025-05-28,0,0,0,0,0,0,0,0,2,0,1,1,1,3293.60009765625,3293.60009765625
2025-05-29,0,0,0,0,0,0,1,0,2,0,1,2,0,3283.699951171875,3317.10009765625
2025-05-30,0,0,0,0,0,0,0,0,2,0,1,1,1,3315.10009765625,3288.89990234375
2025-06-02,0,0,0,0,0,0,1,0,2,0,2,2,2,3296.89990234375,3370.60009765625
